Day since 100cases,Malaysia,New Zealand,Puerto Rico,Iceland,Ireland,Finland,Singapore,Portugal,Belgium,Ecuador,United Arab Emirates,Canada,Australia,Peru,Ghana,Saudi Arabia,Japan,South Korea,Italy,China,United Kingdom
1,23.41,79.63,94.58,16.67,50.26,47.48,,,13.89,95.37,44.31,21.83,19.44,96.03,44.44,69.97,21.03,45.64,64.44,0.0,11.11
2,23.41,90.74,94.58,16.67,50.26,47.48,,,13.89,95.37,44.31,21.83,19.44,96.03,44.44,69.97,21.03,45.64,64.44,7.94,11.11
3,30.56,93.38,94.58,25.79,50.26,47.48,,,13.89,95.37,44.31,21.83,19.44,96.03,44.44,69.97,21.03,52.25,64.44,7.94,11.11
4,30.56,97.35,94.58,53.83,50.26,71.55,,,21.03,95.37,44.31,21.83,19.44,96.03,76.73,69.97,39.81,61.24,64.44,19.05,11.11
5,36.37,97.35,94.58,53.83,50.26,71.55,,,21.03,95.37,44.31,47.36,19.44,96.03,76.73,69.97,39.81,61.24,64.44,44.19,11.11
6,36.37,97.35,94.58,53.83,57.4,71.55,,,21.03,95.37,63.89,47.36,30.56,96.03,76.73,81.09,39.81,61.24,64.44,44.19,11.11
7,36.37,97.35,94.58,53.83,57.4,74.33,,,26.85,95.37,63.89,63.63,30.56,96.03,76.73,81.09,39.81,61.24,64.44,44.19,11.11
8,36.37,97.35,94.58,53.83,57.4,74.33,,,53.04,95.37,72.48,63.63,34.53,96.03,76.73,89.55,39.81,61.24,64.44,66.42,11.11
9,71.03,97.35,94.58,53.83,57.4,74.33,,,53.04,95.37,76.45,74.74,42.47,96.03,76.73,89.55,39.81,61.24,64.44,66.42,11.11
10,71.03,97.35,94.58,53.83,57.4,74.33,,,53.04,95.37,87.57,74.74,42.47,96.03,76.73,92.72,45.63,61.24,70.78,66.42,11.11
11,71.03,97.35,94.58,53.83,57.4,74.33,,,53.04,95.37,87.57,74.74,42.47,96.03,76.73,92.72,45.63,61.24,70.78,66.42,16.93
12,71.03,97.35,94.58,53.83,70.36,74.33,,,75.26,95.37,87.57,73.56,50.41,96.03,76.73,92.72,45.63,61.24,70.78,66.42,24.07
13,71.03,97.35,94.58,53.83,79.63,74.33,37.7,,75.26,95.37,87.57,73.56,50.41,96.03,76.73,92.72,45.63,61.24,70.78,66.42,24.07
