##,World,Population,Columns,CountrySize,LatestCount,Position
178,United States,"331,002,651",GQ,A,432132,199
160,Spain,"46,754,778",FV,B,146690,178
89,Italy,"60,461,826",CU,A,139422,99
67,Germany,"83,783,942",BW,A,108202,75
40,China,"1,439,323,776",AR,A,82870,44
62,France,"65,273,511",BR,A,82048,70
84,Iran,"83,992,949",CP,A,64586,94
177,United Kingdom,"67,886,011",GP,A,60733,198
173,Turkey,"84,339,067",GK,A,38226,193
19,Belgium,"11,589,623",U,B,23403,21
165,Switzerland,"8,654,622",GB,B,22710,184
124,Netherlands,"17,134,872",EG,B,20549,137
35,Canada,"37,742,154",AL,B,19274,38
27,Brazil,"212,559,417",AD,A,15927,30
140,Portugal,"10,196,709",EX,B,13141,154
12,Austria,"9,006,398",N,B,12969,14
158,South Korea,"51,269,185",FT,A,10423,176
88,Israel,"8,655,535",CT,B,9404,98
144,Russia,"145,934,462",FB,A,8672,158
164,Sweden,"10,099,265",GA,B,8419,183
86,Ireland,"4,937,786",CR,C,6224,96
11,Australia,"25,499,884",M,B,6052,13
131,Norway,"5,421,241",EN,B,6010,144
82,India,"1,380,004,385",CM,A,5734,91
39,Chile,"19,116,201",AQ,B,5546,43
47,Denmark,"5,792,202",BC,B,5402,55
139,Poland,"37,846,611",EW,B,5205,153
143,Romania,"19,237,691",FA,B,4761,157
51,Ecuador,"17,643,054",BG,B,4450,59
137,Peru,"32,971,854",EU,B,4342,151
133,Pakistan,"220,892,340",EP,A,4322,146
91,Japan,"126,476,461",CW,A,4257,101
107,Malaysia,"32,365,999",DP,B,4119,120
138,Philippines,"109,581,078",EV,A,3870,152
113,Mexico,"128,932,753",DV,A,3181,126
104,Luxembourg,"625,978",DL,C,3034,116
83,Indonesia,"273,523,615",CN,A,2956,92
148,Saudi Arabia,"34,813,871",FI,B,2932,165
150,Serbia,"8,737,371",FK,B,2666,167
176,United Arab Emirates,"9,890,402",GO,B,2659,197
134,Panama,"4,314,767",ER,C,2528,148
61,Finland,"5,540,720",BQ,B,2487,69
169,Thailand,"69,799,978",GF,A,2423,188
142,Qatar,"2,881,053",EZ,C,2210,156
50,Dominican Republic,"10,847,910",BF,B,2111,58
41,Colombia,"50,882,891",AS,A,2054,45
70,Greece,"10,423,054",BZ,B,1884,78
157,South Africa,"59,308,690",FS,A,1845,175
8,Argentina,"45,195,774",J,B,1795,10
175,Ukraine,"43,733,762",GN,B,1668,196
153,Singapore,"5,850,342",FN,B,1623,170
81,Iceland,"341,243",CL,C,1616,90
3,Algeria,"43,851,044",E,B,1572,5
52,Egypt,"102,334,404",BH,A,1560,60
44,Croatia,"4,105,267",AW,C,1343,49
119,Morocco,"36,910,560",EB,B,1275,132
85,Iraq,"40,222,493",CQ,B,1202,95
56,Estonia,"1,326,535",BL,C,1185,64
114,Moldova,"4,033,963",DW,C,1174,127
155,Slovenia,"2,078,938",FQ,C,1091,173
18,Belarus,"9,449,323",T,B,1066,20
