##,World,Population,Columns,CountrySize,LatestCount,Position,Lockdown Date
178,United States,"331,002,651",GQ,D,"825,041",199,
160,Spain,"46,754,778",FV,C,"204,178",178,
89,Italy,"60,461,826",CU,D,"183,957",99,
67,Germany,"83,783,942",BW,D,"145,694",75,
177,United Kingdom,"67,886,011",GP,D,"129,044",198,
62,France,"65,273,511",BR,D,"117,324",70,
173,Turkey,"84,339,067",GK,D,"95,591",193,
84,Iran,"83,992,949",CP,D,"84,802",94,
40,China,"1,439,323,776",AR,D,"83,864",44,
144,Russia,"145,934,462",FB,D,"52,763",158,
27,Brazil,"212,559,417",AD,D,"43,079",30,
19,Belgium,"11,589,623",U,B,"40,956",21,
35,Canada,"37,742,154",AL,C,"38,413",38,
124,Netherlands,"17,134,872",EG,B,"34,134",137,
165,Switzerland,"8,654,622",GB,B,"27,981",184,
140,Portugal,"10,196,709",EX,B,"21,379",154,
82,India,"1,380,004,385",CM,D,"19,984",91,
137,Peru,"32,971,854",EU,C,"17,837",151,
86,Ireland,"4,937,786",CR,A,"16,040",96,
164,Sweden,"10,099,265",GA,B,"15,322",183,
12,Austria,"9,006,398",N,B,"14,833",14,
88,Israel,"8,655,535",CT,B,"13,942",98,
148,Saudi Arabia,"34,813,871",FI,C,"11,631",165,
91,Japan,"126,476,461",CW,D,"11,496",101,
39,Chile,"19,116,201",AQ,B,"10,832",43,
158,South Korea,"51,269,185",FT,C,"10,694",176,
51,Ecuador,"17,643,054",BG,B,"10,398",59,
139,Poland,"37,846,611",EW,C,"9,856",153,
133,Pakistan,"220,892,340",EP,D,"9,749",146,
113,Mexico,"128,932,753",DV,D,"9,501",126,
143,Romania,"19,237,691",FA,C,"9,242",157,
153,Singapore,"5,850,342",FN,B,"9,125",170,
176,United Arab Emirates,"9,890,402",GO,B,"7,755",197,
47,Denmark,"5,792,202",BC,B,"7,695",55,
131,Norway,"5,421,241",EN,A,"7,166",144,
83,Indonesia,"273,523,615",CN,D,"7,135",92,
150,Serbia,"8,737,371",FK,B,"6,890",167,
18,Belarus,"9,449,323",T,B,"6,723",20,
11,Australia,"25,499,884",M,C,"6,647",13,
138,Philippines,"109,581,078",EV,D,"6,599",152,
175,Ukraine,"43,733,762",GN,C,"6,592",196,
142,Qatar,"2,881,053",EZ,A,"6,533",156,
107,Malaysia,"32,365,999",DP,C,"5,482",120,
50,Dominican Republic,"10,847,910",BF,B,"5,044",58,
134,Panama,"4,314,767",ER,A,"4,821",148,
41,Colombia,"50,882,891",AS,C,"4,149",45,
61,Finland,"5,540,720",BQ,A,"4,014",69,
104,Luxembourg,"625,978",DL,A,"3,618",116,
52,Egypt,"102,334,404",BH,D,"3,490",60,
157,South Africa,"59,308,690",FS,D,"3,465",175,
16,Bangladesh,"164,689,383",R,D,"3,382",18,
119,Morocco,"36,910,560",EB,C,"3,209",132,
8,Argentina,"45,195,774",J,C,"3,132",10,
169,Thailand,"69,799,978",GF,D,"2,811",188,
3,Algeria,"43,851,044",E,C,"2,811",5,
114,Moldova,"4,033,963",DW,A,"2,614",127,
70,Greece,"10,423,054",BZ,B,"2,401",78,
80,Hungary,"9,660,351",CK,B,"2,168",89,
95,Kuwait,"4,270,571",DC,A,"2,080",107,
93,Kazakhstan,"18,776,707",CZ,B,"2,025",104,
15,Bahrain,"1,701,575",Q,A,"1,973",17,
44,Croatia,"4,105,267",AW,A,"1,908",49,
81,Iceland,"341,243",CL,A,"1,778",90,
180,Uzbekistan,"33,469,203",GT,C,"1,692",202,
85,Iraq,"40,222,493",CQ,C,"1,602",95,
56,Estonia,"1,326,535",BL,A,"1,552",64,
132,Oman,"5,106,626",EO,A,"1,508",145,
13,Azerbaijan,"10,139,177",O,B,"1,480",15,
9,Armenia,"2,963,243",K,A,"1,473",11,
103,Lithuania,"2,722,289",DK,A,"1,370",115,
155,Slovenia,"2,078,938",FQ,A,"1,340",173,
25,Bosnia and Herzegovina,"3,280,819",AB,A,"1,338",28,
141,Puerto Rico,"2,860,853",EY,A,"1,252",155,
154,Slovakia,"5,459,642",FP,A,"1,199",172,
34,Cameroon,"26,545,863",AK,C,"1,163",37,
45,Cuba,"11,326,616",AX,B,"1,137",50,
126,New Zealand,"4,822,233",EI,A,"1,113",139,
1,Afghanistan,"38,928,346",C,C,"1,092",3,
68,Ghana,"31,072,940",BX,C,"1,042",76,
