##,World,CountryCode,Population,Columns,CountrySize,LatestCount,Position,Date of Day 1,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note
1,Afghanistan,AFG,"38,928,346",C,C,"3,224",3,29/3/2020,,28/3/2020,9/5/2020,Localized,Kabul,,,,,,,,,,,,
2,Albania,ALB,"2,877,797",D,A,820,4,25/3/2020,,8/3/2020,,National,Until end of outbreak,,,,,,,,,,,,
3,Algeria,DZA,"43,851,044",E,B,"4,838",5,23/3/2020,,23/3/2020,19/4/2020,Localized,"Algiers, Blida",,,,,,,,,,,,
4,Andorra,AND,"77,265",F,A,751,6,23/3/2020,,16/3/2020,,,,,,,,,,,,,,,
5,Angola,AGO,"32,866,272",G,B,36,7,#REF!,,24/3/2020,,National,,,,,,,,,,,,,
6,Anguilla,,"15,003",H,A,3,8,#REF!,British Territory,18/3/2020,,National,,,,,,,,,,,,,
7,Antigua and Barbuda,,"97,929",I,A,24,9,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
8,Argentina,ARG,"45,195,774",J,B,"5,007",10,20/3/2020,,19/3/2020,10/5/2020,National,,,,,,,,,,,,,
9,Armenia,,"2,963,243",K,A,"2,619",11,19/3/2020,,24/3/2020,14/4/2020,National,,,,,,,,,,,,,
10,Aruba,ABW,"106,766",L,A,100,12,#REF!,Netherlands,16/3/2020,,National,,,,,,,,,,,,,
11,Australia,AUS,"25,499,884",M,B,"6,849",13,11/3/2020,,25/3/2020,,National,,,,,,,,,,,,,
12,Austria,AUT,"9,006,398",N,C,"15,586",14,9/3/2020,,16/3/2020,13/4/2020,National,,,,,,,,,,,,,
13,Azerbaijan,AZE,"10,139,177",O,C,"2,060",15,27/3/2020,,31/3/2020,20/4/2020,National,,,,,,,,,,,,,
14,Bahamas,,"393,244",P,A,89,16,#REF!,,20/3/2020,,National,,,,,,,,,,,,,
15,Bahrain,BHR,"1,701,575",Q,A,"3,720",17,10/3/2020,,15/3/2020,,National,,,,,,,,,,,,,
16,Bangladesh,BGD,"164,689,383",R,D,"10,929",18,7/4/2020,,26/3/2020,25/4/2020,National,,,,,,,,,,,,,
17,Barbados,BRB,"287,375",S,A,82,19,#REF!,,28/3/2020,,National,,,,,,,,,,,,,
18,Belarus,,"9,449,323",T,C,"18,350",20,31/3/2020,,7/4/2020,,Localized,Minsk,,,,,,,,,,,,
19,Belgium,BEL,"11,589,623",U,C,"50,509",21,7/3/2020,,18/3/2020,19/4/2020,National,,,,,,,,,,,,,
20,Belize,BLZ,"397,628",V,A,18,22,#REF!,,30/3/2020,,National,,,,,,,,,,,,,
21,Benin,,"12,123,200",W,C,96,23,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
22,Bermuda,BMU,"62,278",X,A,115,24,#REF!,British Overseas Territory,,,Null,No lockdown,,,,,,,,,,,,
