##,World,Population,Column ,CountrySize,LatestCount
197,United States,"331,002,651",GQ,A,432132
176,Spain,"46,754,778",FV,B,146690
97,Italy,"60,461,826",CU,A,139422
73,Germany,"83,783,942",BW,A,108202
42,China,"1,439,323,776",AR,A,82870
68,France,"65,273,511",BR,A,82048
92,Iran,"83,992,949",CP,A,64586
196,United Kingdom,"67,886,011",GP,A,60733
191,Turkey,"84,339,067",GK,A,38226
19,Belgium,"11,589,623",U,B,23403
182,Switzerland,"8,654,622",GB,B,22710
135,Netherlands,"17,134,872",EG,B,20549
36,Canada,"37,742,154",AL,B,19274
28,Brazil,"212,559,417",AD,A,15927
152,Portugal,"10,196,709",EX,B,13141
12,Austria,"9,006,398",N,B,12969
174,South Korea,"51,269,185",FT,A,10423
96,Israel,"8,655,535",CT,B,9404
156,Russia,"895,312",FB,C,8672
181,Sweden,"10,099,265",GA,B,8419
94,Ireland,"4,937,786",CR,C,6224
11,Australia,"25,499,884",M,B,6052
142,Norway,"5,421,241",EN,B,6010
89,India,"1,380,004,385",CM,A,5734
41,Chile,"19,116,201",AQ,B,5546
53,Denmark,"5,792,202",BC,B,5402
51,Czech Republic,"26,378,274",BA,B,5312
151,Poland,"37,846,611",EW,B,5205
155,Romania,"895,312",FA,C,4761
57,Ecuador,"17,643,054",BG,B,4450
149,Peru,"32,971,854",EU,B,4342
144,Pakistan,"220,892,340",EP,A,4322
99,Japan,"126,476,461",CW,A,4257
118,Malaysia,"32,365,999",DP,B,4119
150,Philippines,"109,581,078",EV,A,3870
124,Mexico,"128,932,753",DV,A,3181
114,Luxembourg,"625,978",DL,C,3034
90,Indonesia,"273,523,615",CN,A,2956
163,Saudi Arabia,"34,813,871",FI,B,2932
165,Serbia,"8,737,371",FK,B,2666
195,United Arab Emirates,"9,890,402",GO,B,2659
146,Panama,"4,314,767",ER,C,2528
67,Finland,"5,540,720",BQ,B,2487
186,Thailand,"69,799,978",GF,A,2423
154,Qatar,"2,881,053",EZ,C,2210
56,Dominican Republic,"10,847,910",BF,B,2111
43,Colombia,"50,882,891",AS,A,2054
76,Greece,"10,423,054",BZ,B,1884
173,South Africa,"59,308,690",FS,A,1845
8,Argentina,"45,195,774",J,B,1795
194,Ukraine,"43,733,762",GN,B,1668
168,Singapore,"5,850,342",FN,B,1623
88,Iceland,"341,243",CL,C,1616
3,Algeria,"43,851,044",E,B,1572
58,Egypt,"102,334,404",BH,A,1560
47,Croatia,"4,105,267",AW,C,1343
130,Morocco,"36,910,560",EB,B,1275
93,Iraq,"40,222,493",CQ,B,1202
62,Estonia,"1,326,535",BL,C,1185
125,Moldova,"4,033,963",DW,C,1174
171,Slovenia,"2,078,938",FQ,C,1091
18,Belarus,"9,449,323",T,B,1066
